data_dim,rho,seed,product_minus_diag_w1,product_minus_diag_w2,wgan_minus_diag_w1,wgan_minus_diag_w2
10,0.5,0,0.14799818872462422,0.1174599038546229,0.05457445863240995,0.0627894444206536
10,0.5,1,0.18126359676926196,0.1681027998103759,-0.016768740685049188,-0.0015918598054480704
10,0.5,2,0.13508180138156956,0.11213605242744284,0.009056397594306986,-0.016730526073127194
10,0.8,0,0.5358563427178096,0.4658401249723405,0.29964393707774617,0.2809642514664996
10,0.8,1,0.4584517517578015,0.3664975429988653,-0.01018793865947254,0.003236450681429748
10,0.8,2,0.4366731409354023,0.35597383042467623,0.1738209983184129,0.13070416665710427
20,0.5,0,0.3543563777176004,0.32006077870963257,-0.3766160987251346,-0.2928915862358803
20,0.5,1,0.34205374461120464,0.33509484917018817,0.16511909765087207,0.17169797466465742
20,0.5,2,0.36354476990147866,0.35257192073536014,-0.3312165907080913,-0.24043391413715565
20,0.8,0,0.9275904489328122,0.7546996689025693,0.20014991175719432,0.17816419845593323
20,0.8,1,0.8237535445507143,0.6784089271579772,0.07367880233693613,0.08757316436316742
20,0.8,2,0.8287169377728616,0.6934659943535078,0.16665581049117817,0.20233445219822066
