data_dim,rho,seed,selected_epoch,selected_eval_w1,selected_eval_mean_error,selected_eval_diag_var_error,selected_checkpoint_score,best_epoch,best_eval_w1,best_eval_mean_error,best_eval_diag_var_error,best_checkpoint_score
10,0.5,0,75.0,2.320365051715322,0.18233869969844818,0.49565833806991577,2.834257259755083,75.0,2.320365051715322,0.18233869969844818,0.49565833806991577,2.834257259755083
10,0.5,1,125.0,2.2529341752836722,0.0921543762087822,0.48501521348953247,2.747164826394083,125.0,2.2529341752836722,0.0921543762087822,0.48501521348953247,2.747164826394083
10,0.5,2,125.0,2.285745661156041,0.1229911595582962,0.48754167556762695,2.7855864526794973,125.0,2.285745661156041,0.1229911595582962,0.48754167556762695,2.7855864526794973
10,0.8,0,100.0,2.336763106547965,0.09660268574953079,0.8730451464653015,3.2194685215882197,100.0,2.336763106547965,0.09660268574953079,0.8730451464653015,3.2194685215882197
10,0.8,1,150.0,2.154727364458891,0.0670425072312355,0.7215007543563843,2.882932369538399,150.0,2.154727364458891,0.0670425072312355,0.7215007543563843,2.882932369538399
10,0.8,2,75.0,2.4712285929818036,0.14996156096458435,0.8138740658760071,3.300098814954269,75.0,2.4712285929818036,0.14996156096458435,0.8138740658760071,3.300098814954269
20,0.5,0,125.0,3.865200556028187,0.14323124289512634,0.5262431502342224,4.405766830551922,125.0,3.865200556028187,0.14323124289512634,0.5262431502342224,4.405766830551922
20,0.5,1,150.0,3.9924863104778883,0.16777747869491577,0.4932974874973297,4.50256154584471,150.0,3.9924863104778883,0.16777747869491577,0.4932974874973297,4.50256154584471
20,0.5,2,100.0,3.8283171804494076,0.20811057090759277,0.4849023222923279,4.334030559832494,100.0,3.8283171804494076,0.20811057090759277,0.4849023222923279,4.334030559832494
20,0.8,0,150.0,3.8524346053967475,0.2538635730743408,0.7973675727844238,4.675188535488606,150.0,3.8524346053967475,0.2538635730743408,0.7973675727844238,4.675188535488606
20,0.8,1,150.0,3.742505063920743,0.12392890453338623,0.8049532771110535,4.559851231485135,150.0,3.742505063920743,0.12392890453338623,0.8049532771110535,4.559851231485135
20,0.8,2,125.0,3.9391475686344917,0.116238072514534,0.7878499031066895,4.7386212789926345,125.0,3.9391475686344917,0.116238072514534,0.7878499031066895,4.7386212789926345
