rho,method,num_seeds,w1_mean,w1_std,w2_mean,w2_std,mean_error_mean,mean_error_std,var_error_mean,var_error_std,corr_mean,corr_std,cov_12_mean,cov_12_std
0.0,Best diagonal Gaussian,10,0.2063304977494111,0.033352810217172194,0.26342304412362805,0.03135458380595225,0.05730070173740387,0.014151987433350357,0.05167002379894257,0.024816641991883256,0.004664009565021843,0.016493173940143265,0.004478639992885292,0.01620468650757402
0.0,Product marginals,10,0.202173221821706,0.020520439869212415,0.2618220424159429,0.021026214940866154,0.04666034900583327,0.02446675804344458,0.04229217767715454,0.01756032790600791,-0.002493326528929174,0.023432802691771372,-0.002533154224511236,0.02362547408152382
0.0,WGAN,10,0.24949396373175858,0.045104201139262966,0.31226569678875077,0.04294435784969412,0.06040927432477474,0.03425630207117973,0.13191511034965514,0.06634341251222146,0.003438638779334724,0.017792626160355207,0.0033163730753585697,0.01723578444366623
0.2,Best diagonal Gaussian,10,0.24081663143412343,0.01826581579749896,0.310621658300699,0.026833966406089454,0.05567770190536976,0.015691810689114395,0.05186832845211029,0.02926043695997077,0.004664008924737573,0.016493172019445435,0.004430024127941579,0.01604184157865433
0.2,Product marginals,10,0.24190802522891683,0.01956037172689531,0.3136271534181785,0.020540181199178845,0.04606077501084656,0.028027957067108443,0.041840124130249026,0.020445692967673998,-0.0016409727861173451,0.024047828251353213,-0.0017634661577176302,0.024346260218281568
0.2,WGAN,10,0.2821403109607588,0.03513265484775467,0.34701740978877826,0.04740771149541174,0.06976331155747176,0.045032586369677385,0.15384874045848845,0.08259528475502088,0.003503043530508876,0.017908948801736258,0.0025105020264163612,0.017957723042559708
0.4,Best diagonal Gaussian,10,0.3140464953317412,0.032360887318207895,0.39818270058137106,0.03520951548629622,0.053786874189972876,0.017736975249337403,0.06200027167797088,0.0404396753748026,0.004664008098188788,0.016493172696826396,0.004287626850418747,0.015530032169289556
0.4,Product marginals,10,0.30291089138012955,0.035055400282728175,0.39261300952292233,0.041948893893485883,0.04630829896777868,0.030147000509053848,0.04154922962188721,0.022615699329931283,-0.0006832230355939828,0.023930920797961025,-0.0008846583405102137,0.024330120636730342
0.4,WGAN,10,0.3536845137352643,0.0361410382345504,0.44075426913600796,0.049804189565580644,0.07241454971954227,0.0505371479313163,0.16647888720035553,0.062191634973732694,0.0029223950346931814,0.018346259125530517,0.004243064997717738,0.018545945283731848
0.6,Best diagonal Gaussian,10,0.4067663056264864,0.04542597425422865,0.51220338345173,0.05253229932294121,0.05151521638035774,0.02030338261834881,0.108982914686203,0.05117240786341021,0.004664008191321045,0.01649317422808825,0.004029424919281155,0.01458685239875838
0.6,Product marginals,10,0.41114666084385315,0.020329602178074318,0.5238232933086477,0.0218500612521979,0.04726065592840314,0.03101093830958685,0.042080548405647275,0.022973962310090176,0.00038474329194286837,0.02293485255604515,0.0001289985972107388,0.023405229537607382
0.6,WGAN,10,0.4679733614089665,0.035531905060096354,0.5794029631117448,0.04448411780423748,0.08575820084661245,0.05451503882071132,0.1774984985589981,0.1361967700574198,0.00230682265246287,0.018070608289651253,0.0024660456692799926,0.018231839762481227
0.8,Best diagonal Gaussian,10,0.5287107567955251,0.05508210929914389,0.6558815746225771,0.06370436474345433,0.04854931384325027,0.023494069126677217,0.20668391287326812,0.051946694571417644,0.004664008016698062,0.01649317383987389,0.0035889439284801485,0.012967018202848657
0.8,Product marginals,10,0.5461317170987452,0.0423043527702732,0.6803417367041789,0.05704580139853701,0.047320235148072244,0.032564408306191,0.045348319411277774,0.023453705091968657,0.0016102079418487847,0.020668294946698074,0.0013541391701437533,0.021124082870379875
0.8,WGAN,10,0.6435520741845542,0.072058031067214,0.7878437002484252,0.09348974512899814,0.10311438385397195,0.05919346076743171,0.3073350369930267,0.18030956656542355,0.0023034332203678786,0.017984212556139884,0.002092746470589191,0.02355583649090565
